#,"Country,
Other","Total
Cases","Total
Deaths","New
Deaths","Total
Recovered","Active
Cases","Serious,
Critical","Tot Cases/
1M pop","Deaths/
1M pop","Total
Tests","Tests/
1M pop",Population
1,USA,"9,81,66,904","10,84,282",,"9,49,62,112","21,20,510","2,970","2,93,206","3,239","1,11,81,58,870","33,39,729","33,48,05,269"
2,India,"4,45,87,307","5,28,629",,"4,40,19,095","39,583",698,"31,698",376,"89,44,16,853","6,35,857","1,40,66,31,776"
3,France,"3,53,42,950","1,55,078",,"3,45,27,115","6,60,757",869,"5,38,892","2,365","27,14,90,188","41,39,547","6,55,84,518"
4,Brazil,"3,47,06,757","6,86,027",,"3,38,38,636","1,82,094","8,318","1,61,162","3,186","6,37,76,166","2,96,146","21,53,53,593"
5,Germany,"3,33,12,373","1,49,948",,"3,23,15,200","8,47,225","1,406","3,97,126","1,788","12,23,32,384","14,58,359","8,38,83,596"
6,S. Korea,"2,47,69,101","28,406",42,"2,40,13,461","7,27,234",352,"4,82,547",553,"1,58,04,065","3,07,892","5,13,29,899"
7,UK,"2,36,21,952","1,89,919",,"2,33,47,871","84,162",146,"3,44,857","2,773","52,25,26,476","76,28,357","6,84,97,907"
8,Italy,"2,24,32,803","1,77,054",,"2,17,79,604","4,76,145",141,"3,72,250","2,938","24,66,36,495","40,92,684","6,02,62,770"
9,Japan,"2,12,29,216","44,678",,"2,03,80,089","8,04,449",204,"1,69,043",356,"7,62,01,407","6,06,772","12,55,84,838"
10,Russia,"2,09,48,470","3,87,163",,"1,99,79,763","5,81,544","2,300","1,43,674","2,655","27,34,00,000","18,75,095","14,58,05,947"
11,Turkey,"1,68,73,793","1,01,139",,"1,67,54,301","18,353",975,"1,97,211","1,182","16,27,43,369","19,02,052","8,55,61,976"
12,Spain,"1,34,12,263","1,14,084",,"1,32,18,892","79,287",339,"2,87,083","2,442","47,10,36,328","1,00,82,298","4,67,19,142"
13,Vietnam,"1,14,77,886","43,148",,"1,05,90,917","8,43,821",106,"1,15,993",436,"8,58,26,548","8,67,342","9,89,53,541"
14,Australia,"1,02,09,239","14,984",,"1,01,33,494","60,761",49,"3,91,627",575,"7,88,35,048","30,24,116","2,60,68,792"
15,Argentina,"97,08,420","1,29,897",,"95,63,348","15,175",294,"2,11,006","2,823","3,57,16,069","7,76,264","4,60,10,234"
16,Netherlands,"84,22,336","22,643",,"83,62,464","37,229",35,"4,89,345","1,316","2,11,07,399","12,26,358","1,72,11,447"
17,Iran,"75,48,320","1,44,421",,"73,25,370","78,529",157,"87,748","1,679","5,40,95,556","6,28,851","8,60,22,837"
18,Mexico,"70,84,488","3,30,065",,"63,53,953","4,00,470","4,798","53,849","2,509","1,83,93,211","1,39,806","13,15,62,772"
19,Indonesia,"64,29,767","1,58,093",,"62,53,317","18,357","2,771","23,035",566,"10,86,56,989","3,89,264","27,91,34,505"
20,Taiwan,"64,17,941","11,003",,"56,03,195","8,03,743",,"2,68,661",461,"2,59,98,416","10,88,319","2,38,88,595"
21,Colombia,"63,07,372","1,41,794",,"61,34,690","30,888",342,"1,22,443","2,753","3,65,72,720","7,09,974","5,15,12,762"
22,Poland,"62,89,672","1,17,539",,"53,35,940","8,36,193","3,086","1,66,659","3,114","3,73,35,609","9,89,290","3,77,39,785"
23,Portugal,"54,90,639","25,024",,"53,94,788","70,827",61,"5,41,453","2,468","4,49,88,307","44,36,467","1,01,40,570"
24,Ukraine,"51,77,217","1,09,206",,"49,73,554","94,457",177,"1,19,865","2,528","1,95,21,252","4,51,963","4,31,92,122"
25,Austria,"51,18,512","20,738",,"50,06,572","91,202",47,"5,64,539","2,287","19,75,43,761","2,17,87,811","90,66,710"
26,Greece,"49,20,192","33,111",,"48,36,903","50,178",115,"4,76,918","3,209","9,41,39,966","91,25,063","1,03,16,637"
27,Malaysia,"48,38,872","36,369",,"47,77,329","25,174",43,"1,45,832","1,096","6,46,04,259","19,47,021","3,31,81,072"
28,DPRK,"47,72,813",74,,"47,72,739",0,,"1,83,636",3,,,"2,59,90,679"
29,Thailand,"46,81,309","32,767",9,"46,42,083","6,459","1,496","66,801",468,"1,72,70,775","2,46,450","7,00,78,203"
30,Israel,"46,61,096","11,698",,"46,41,394","8,004",101,"4,99,796","1,254","4,13,73,364","44,36,346","93,26,000"
31,Chile,"46,20,377","61,141",,"45,40,886","18,350",124,"2,40,017","3,176","4,51,28,974","23,44,339","1,92,50,195"
32,Belgium,"45,33,249","32,659",,"44,51,569","49,021",48,"3,88,511","2,799","3,55,55,508","30,47,194","1,16,68,278"
33,Canada,"42,33,468","44,992",,"41,31,367","57,109",99,"1,10,280","1,172","6,49,28,884","16,91,366","3,83,88,419"
34,Peru,"41,43,085","2,16,539",,"39,14,598","11,948",147,"1,22,998","6,429","3,51,26,382","10,42,815","3,36,84,208"
35,Czechia,"41,00,480","41,059",,"40,35,333","24,088",39,"3,81,910","3,824","5,62,12,735","52,35,528","1,07,36,784"
36,Switzerland,"40,84,307","14,183",,"40,12,833","57,291",54,"4,65,520","1,617","2,23,18,542","25,43,819","87,73,637"
37,South Africa,"40,18,769","1,02,185",,"39,09,265","7,319",192,"66,146","1,682","2,61,74,429","4,30,811","6,07,56,135"
38,Philippines,"39,45,566","62,916",,"38,54,478","28,172",696,"35,069",559,"3,27,96,350","2,91,500","11,25,08,994"
39,Romania,"32,67,370","67,016",,"31,80,124","20,230",123,"1,71,684","3,521","2,50,94,131","13,18,569","1,90,31,335"
40,Denmark,"31,10,831","7,065",,"30,93,396","10,370",,"5,33,138","1,211","12,83,97,719","2,20,04,939","58,34,950"
41,Sweden,"25,88,441","20,194",,"25,48,125","20,122",13,"2,53,298","1,976","1,89,65,590","18,55,920","1,02,18,971"
42,Iraq,"24,59,982","25,355",,"24,33,704",923,21,"58,342",601,"1,92,39,264","4,56,286","4,21,64,965"
43,Serbia,"23,59,530","17,000",,"22,98,536","43,994",33,"2,72,683","1,965","1,10,30,499","12,74,758","86,53,016"
44,Hungary,"20,94,142","47,503",,"20,14,175","32,464",18,"2,17,998","4,945","1,13,94,556","11,86,160","96,06,259"
45,Bangladesh,"20,24,489","29,362",,"19,64,501","30,626","1,331","12,059",175,"1,48,72,260","88,586","16,78,85,689"
46,Singapore,"19,04,192","1,617",,"18,21,160","81,415",9,"3,20,380",272,"2,43,45,019","40,96,043","59,43,546"
47,Slovakia,"18,43,220","20,455",,"18,17,938","4,827",22,"3,37,574","3,746","72,98,163","13,36,613","54,60,193"
48,Georgia,"17,80,691","16,900",,"16,37,293","1,26,498",,"4,48,679","4,258","1,69,20,079","42,63,340","39,68,738"
49,New Zealand,"17,79,476","2,959",,"17,67,660","8,857",,"3,63,292",604,"75,44,063","15,40,170","48,98,203"
50,Hong Kong,"17,61,381","10,153",,"14,69,240","2,81,988",8,"2,31,630","1,335","5,43,52,132","71,47,553","76,04,299"
51,Jordan,"17,46,997","14,122",,"17,31,007","1,868",59,"1,69,597","1,371","1,72,01,885","16,69,945","1,03,00,869"
52,Ireland,"16,63,653","7,905",,"16,48,405","7,343",13,"3,31,392","1,575","1,27,08,583","25,31,490","50,20,199"
53,Pakistan,"15,72,598","30,616",3,"15,36,924","5,058",47,"6,853",133,"3,04,77,451","1,32,806","22,94,88,994"
54,Norway,"14,62,318","4,098",,"14,57,108","1,112",20,"2,65,327",744,"1,10,02,430","19,96,315","55,11,370"
55,Kazakhstan,"13,93,468","13,690",,"13,78,440","1,338",24,"72,557",713,"1,15,75,012","6,02,707","1,92,05,043"
56,Finland,"12,92,940","5,981",,"12,63,711","23,248",21,"2,32,754","1,077","1,15,05,032","20,71,128","55,54,960"
57,Morocco,"12,64,935","16,278",,"12,48,543",114,293,"33,488",431,"1,25,77,650","3,32,982","3,77,72,756"
58,Bulgaria,"12,58,670","37,714",,"12,11,397","9,559",43,"1,83,892","5,510","1,05,59,171","15,42,702","68,44,597"
59,Lithuania,"12,49,134","9,320",,"12,16,151","23,663",12,"4,69,298","3,502","1,01,74,473","38,22,535","26,61,708"
60,Croatia,"12,31,575","16,902",,"12,09,524","5,149",10,"3,03,397","4,164","52,25,875","12,87,388","40,59,286"
61,Lebanon,"12,15,511","10,674",,"10,87,587","1,17,250",74,"1,81,831","1,597","47,95,578","7,17,380","66,84,849"
62,Slovenia,"11,81,073","6,820",,"11,45,051","29,202",22,"5,68,361","3,282","27,43,244","13,20,115","20,78,034"
63,Tunisia,"11,45,686","29,249",,N/A,N/A,99,"95,104","2,428","49,48,208","4,10,754","1,20,46,656"
64,Guatemala,"11,23,465","19,789",,"11,02,988",688,5,"60,453","1,065","58,84,813","3,16,660","1,85,84,039"
65,Cuba,"11,11,179","8,530",,"11,02,548",101,23,"98,285",754,"1,41,49,157","12,51,512","1,13,05,652"
66,Bolivia,"11,08,195","22,234",,"10,51,789","34,172",220,"92,406","1,854","27,05,422","2,25,590","1,19,92,656"
67,Costa Rica,"10,72,807","8,913",,"8,60,711","2,03,183",52,"2,07,012","1,720","46,59,757","8,99,158","51,82,354"
68,UAE,"10,27,031","2,345",,"10,06,369","18,317",,"1,01,870",233,"19,05,86,733","1,89,04,066","1,00,81,785"
69,Ecuador,"10,03,778","35,894",,"9,64,320","3,564",759,"55,416","1,982","30,82,403","1,70,173","1,81,13,361"
70,Nepal,"9,99,712","12,018",,"9,86,617","1,077",,"33,075",398,"59,36,702","1,96,413","3,02,25,582"
71,Belarus,"9,94,037","7,118",,"9,85,592","1,327",,"1,05,381",755,"1,36,46,641","14,46,722","94,32,800"
72,Panama,"9,86,866","8,497",,"9,76,873","1,496",16,"2,21,919","1,911","70,62,027","15,88,056","44,46,964"
73,Uruguay,"9,85,422","7,485",,"9,76,760","1,177",18,"2,81,870","2,141","61,14,822","17,49,083","34,96,016"
74,Mongolia,"9,82,864","2,179",,"9,79,439","1,246",192,"2,90,954",645,"40,30,048","11,93,000","33,78,078"
75,Latvia,"9,29,051","5,990",,"8,91,237","31,824",5,"5,02,506","3,240","76,50,009","41,37,741","18,48,837"
76,Azerbaijan,"8,21,162","9,910",,"8,10,181","1,071",,"79,723",962,"72,45,111","7,03,395","1,03,00,205"
77,Saudi Arabia,"8,16,389","9,351",,"8,03,546","3,492",32,"22,776",261,"4,43,21,147","12,36,470","3,58,44,909"
78,Paraguay,"7,16,059","19,583",,"6,96,110",366,7,"98,012","2,680","26,57,506","3,63,751","73,05,843"
79,Bahrain,"6,80,271","1,520",,"6,75,724","3,027",2,"3,81,321",852,"1,03,76,306","58,16,370","17,83,983"
80,Sri Lanka,"6,70,763","16,761",,"6,53,779",223,,"31,089",777,"64,86,117","3,00,619","2,15,75,842"
81,Kuwait,"6,58,520","2,563",,"6,55,316",641,3,"1,50,336",585,"83,65,279","19,09,739","43,80,326"
82,Dominican Republic,"6,44,016","4,384",,"6,38,911",721,4,"58,248",397,"36,57,057","3,30,765","1,10,56,370"
83,Myanmar,"6,22,802","19,458",,"5,97,898","5,446",,"11,277",352,"90,56,450","1,63,985","5,52,27,143"
84,Palestine,"6,20,548","5,403",,"6,08,749","6,396",17,"1,16,087","1,011","30,78,533","5,75,907","53,45,541"
85,Estonia,"6,01,869","2,681",,"5,24,990","74,198",4,"4,55,303","2,028","35,36,858","26,75,566","13,21,910"
86,Moldova,"5,89,388","11,844",,"5,04,142","73,402",49,"1,46,863","2,951","32,16,305","8,01,437","40,13,171"
87,Cyprus,"5,85,313","1,180",,"5,78,452","5,681",60,"4,78,437",965,"96,40,118","78,79,860","12,23,387"
88,Venezuela,"5,44,687","5,814",,"5,38,033",840,36,"18,611",199,"33,59,014","1,14,771","2,92,66,991"
89,Egypt,"5,15,645","24,613",,"4,42,182","48,850",122,"4,857",232,"36,93,367","34,792","10,61,56,692"
90,Libya,"5,06,991","6,437",,"5,00,507",47,101,"72,008",914,"24,81,983","3,52,517","70,40,745"
91,Ethiopia,"4,93,563","7,572",,"4,71,918","14,073",1,"4,085",63,"52,58,807","43,529","12,08,12,698"
92,R̩union,"4,72,336",893,,"4,18,572","52,871",10,"5,20,159",983,"16,03,660","17,66,027","9,08,061"
93,Honduras,"4,56,391","10,993",,N/A,N/A,105,"44,651","1,076","15,28,531","1,49,544","1,02,21,247"
94,Qatar,"4,50,448",682,,"4,43,418","6,348",4,"1,51,161",229,"39,51,470","13,26,034","29,79,915"
95,Armenia,"4,42,875","8,683",,"4,30,192","4,000",,"1,49,018","2,922","32,10,961","10,80,416","29,71,966"
96,Bosnia and Herzegovina,"3,98,668","16,136",,"3,76,654","5,878",,"1,22,693","4,966","18,61,041","5,72,748","32,49,317"
97,Oman,"3,97,993","4,260",,"3,84,669","9,064",2,"74,755",800,"2,50,00,000","46,95,724","53,23,993"
98,North Macedonia,"3,42,775","9,534",,"3,32,806",435,,"1,64,692","4,581","21,30,257","10,23,520","20,81,304"
99,Kenya,"3,38,420","5,678",,"3,32,663",79,1,"6,020",101,"38,81,967","69,055","5,62,15,221"
100,Zambia,"3,33,531","4,017",,"3,29,375",139,,"17,130",206,"37,31,374","1,91,645","1,94,70,234"
101,Albania,"3,32,173","3,588",,"3,26,729","1,856",,"1,15,886","1,252","19,41,032","6,77,173","28,66,374"
102,Botswana,"3,26,308","2,789",,"3,22,955",564,1,"1,33,669","1,142","20,26,898","8,30,300","24,41,162"
103,Luxembourg,"2,88,658","1,123",,"2,83,668","3,867",,"4,49,363","1,748","44,02,293","68,53,194","6,42,371"
104,Montenegro,"2,80,002","2,781",,"2,76,154","1,067",6,"4,45,899","4,429","26,24,193","41,78,984","6,27,950"
105,Algeria,"2,70,668","6,879",,"1,82,306","81,483",6,"5,968",152,"2,30,861","5,091","4,53,50,148"
106,Nigeria,"2,65,382","3,155",,"2,58,381","3,846",11,"1,224",15,"54,41,162","25,104","21,67,46,934"
107,Zimbabwe,"2,57,409","5,602",,"2,51,281",526,12,"16,790",365,"25,11,501","1,63,814","1,53,31,428"
108,China,"2,50,449","5,226",,"2,42,254","2,969",36,173,4,"16,00,00,000","1,10,461","1,44,84,71,400"
109,Uzbekistan,"2,44,199","1,637",,"2,41,486","1,076",23,"7,103",48,"13,77,915","40,077","3,43,82,084"
110,Mozambique,"2,30,219","2,221",,"2,27,882",116,11,"6,957",67,"13,71,127","41,437","3,30,89,461"
111,Brunei,"2,26,237",225,,"2,22,140","3,872",3,"5,07,906",505,"7,17,784","16,11,437","4,45,431"
112,Martinique,"2,21,618","1,044",,N/A,N/A,8,"5,92,424","2,791","8,28,928","22,15,870","3,74,087"
113,Laos,"2,15,843",758,,N/A,N/A,,"28,852",101,"12,33,207","1,64,845","74,81,023"
114,Kyrgyzstan,"2,06,083","2,991",,"1,96,406","6,686",131,"30,629",445,"19,07,195","2,83,460","67,28,271"
115,Iceland,"2,05,637",213,,N/A,N/A,2,"5,95,371",617,"19,96,384","57,80,036","3,45,393"
116,El Salvador,"2,01,785","4,229",,"1,79,410","18,146",8,"30,805",646,"26,10,114","3,98,467","65,50,389"
117,Afghanistan,"1,99,067","7,799",,"1,77,850","13,418","1,124","4,885",191,"11,03,716","27,082","4,07,54,388"
118,Guadeloupe,"1,92,801",989,,N/A,N/A,19,"4,82,251","2,474","9,38,039","23,46,306","3,99,794"
119,Maldives,"1,85,042",308,,"1,63,687","21,047",25,"3,42,046",569,"22,13,831","40,92,223","5,40,985"
120,Trinidad and Tobago,"1,82,597","4,195",,"1,74,214","4,188",18,"1,29,816","2,982","8,34,508","5,93,287","14,06,585"
121,Uganda,"1,69,396","3,628",,"1,00,431","65,337",3,"3,498",75,"30,12,408","62,198","4,84,32,863"
122,Namibia,"1,69,253","4,065",,"1,64,813",375,,"64,260","1,543","10,62,663","4,03,460","26,33,874"
123,Ghana,"1,69,100","1,459",,"1,67,307",334,2,"5,220",45,"25,04,017","77,295","3,23,95,450"
124,Jamaica,"1,51,829","3,317",,"99,239","49,273",,"50,862","1,111","11,83,986","3,96,633","29,85,094"
125,Cambodia,"1,37,870","3,056",,"1,34,745",69,,"8,030",178,"30,69,567","1,78,789","1,71,68,639"
126,Rwanda,"1,32,498","1,466",,"1,30,955",77,,"9,742",108,"58,16,624","4,27,678","1,36,00,464"
127,Cameroon,"1,21,652","1,935",,"1,18,616","1,101",13,"4,358",69,"17,51,774","62,762","2,79,11,548"
128,Malta,"1,14,652",806,,"1,13,195",651,4,"2,58,206","1,815","20,60,900","46,41,322","4,44,033"
129,Angola,"1,03,131","1,917",,"1,01,155",59,,"2,944",55,"14,99,795","42,818","3,50,27,343"
130,Barbados,"1,02,546",559,,"1,01,760",227,,"3,56,034","1,941","7,65,378","26,57,350","2,88,023"
131,French Guiana,"93,974",410,,"11,254","82,310",3,"2,99,119","1,305","6,51,257","20,72,951","3,14,169"
132,DRC,"92,852","1,442",,"83,504","7,906",,975,15,"8,46,704","8,890","9,52,40,792"
133,Channel Islands,"91,561",202,,"90,639",720,,"5,18,868","1,145","12,52,808","70,99,551","1,76,463"
134,Senegal,"88,373","1,968",,"86,297",108,,"5,006",111,"11,46,543","64,946","1,76,53,671"
135,Malawi,"88,024","2,682",,"84,872",470,67,"4,362",133,"6,16,772","30,562","2,01,80,839"
136,Ivory Coast,"87,208",826,,"86,338",44,,"3,144",30,"16,28,106","58,687","2,77,42,298"
137,Suriname,"81,106","1,385",,N/A,N/A,,"1,35,894","2,321","2,39,178","4,00,747","5,96,831"
138,French Polynesia,"76,599",649,,N/A,N/A,7,"2,69,559","2,284",,,"2,84,164"
139,New Caledonia,"74,152",314,,"73,823",15,9,"2,54,892","1,079","98,964","3,40,182","2,90,915"
140,Eswatini,"73,390","1,422",,"71,955",13,11,"61,942","1,200","10,45,903","8,82,755","11,84,817"
141,Guyana,"71,336","1,281",,"69,977",78,,"89,839","1,613","6,95,695","8,76,141","7,94,045"
142,Belize,"68,826",683,,"68,079",64,6,"1,66,976","1,657","5,76,016","13,97,453","4,12,190"
143,Fiji,"68,242",878,,"66,302","1,062",,"75,035",965,"6,62,620","7,28,581","9,09,466"
144,Madagascar,"66,676","1,410",,"65,242",24,,"2,285",48,"5,12,993","17,581","2,91,78,077"
145,Sudan,"63,285","4,961",,"57,290","1,034",,"1,376",108,"5,62,941","12,240","4,59,92,020"
146,Mauritania,"62,812",995,,"61,789",28,,"12,814",203,"9,70,892","1,98,061","49,01,981"
147,Cabo Verde,"62,371",410,,"61,890",71,23,"1,09,870",722,"4,01,622","7,07,482","5,67,678"
148,Bhutan,"61,730",21,,"61,564",145,,"78,343",27,"23,03,734","29,23,739","7,87,941"
149,Syria,"57,299","3,163",,"54,078",58,,"2,959",163,"1,46,269","7,553","1,93,64,809"
150,Burundi,"50,129",38,,"49,559",532,,"3,971",3,"3,45,742","27,386","1,26,24,840"
151,Gabon,"48,691",306,,"48,292",93,,"20,884",131,"16,16,256","6,93,216","23,31,533"
152,Seychelles,"47,141",169,,"46,446",526,,"4,74,132","1,700",,,"99,426"
153,Andorra,"46,227",155,,"46,011",61,14,"5,96,762","2,001","2,49,838","32,25,256","77,463"
154,Cura̤ao,"45,127",282,,"44,720",125,3,"2,72,623","1,704","4,96,693","30,00,640","1,65,529"
155,Papua New Guinea,"44,997",668,,"43,982",347,7,"4,842",72,"2,49,149","26,813","92,92,169"
156,Aruba,"42,914",227,,"42,438",249,2,"3,98,796","2,109","1,77,885","16,53,068","1,07,609"
157,Mauritius,"40,461","1,024",,"38,786",651,,"31,741",803,"3,58,675","2,81,374","12,74,727"
158,Mayotte,"40,243",187,,N/A,N/A,,"1,40,582",653,"1,76,919","6,18,038","2,86,259"
159,Tanzania,"39,440",845,,N/A,N/A,7,623,13,,,"6,32,98,550"
160,Togo,"39,034",285,,"38,528",221,,"4,497",33,"7,91,865","91,220","86,80,837"
161,Isle of Man,"38,008",116,,N/A,N/A,,"4,43,335","1,353","1,50,753","17,58,422","85,732"
162,Guinea,"37,652",449,,"36,880",323,8,"2,715",32,"6,60,107","47,607","1,38,65,691"
163,Bahamas,"37,267",833,,"36,070",364,2,"93,047","2,080","2,48,846","6,21,314","4,00,516"
164,Faeroe Islands,"34,658",28,,N/A,N/A,5,"7,03,959",569,"7,78,000","1,58,02,409","49,233"
165,Lesotho,"34,490",706,,"25,980","7,804",,"15,852",324,"4,31,221","1,98,199","21,75,699"
166,Haiti,"33,733",857,,"31,307","1,569",,"2,888",73,"1,32,422","11,337","1,16,80,283"
167,Mali,"32,625",742,,"31,591",292,,"1,519",35,"7,59,178","35,354","2,14,73,764"
168,Cayman Islands,"30,661",32,,"8,553","22,076",1,"4,55,743",476,"2,22,773","33,11,280","67,277"
169,Saint Lucia,"29,408",391,,"28,475",542,,"1,58,865","2,112","2,10,354","11,36,355","1,85,113"
170,Benin,"27,638",163,,"27,322",153,5,"2,162",13,"6,04,310","47,268","1,27,84,726"
171,Somalia,"27,214","1,352",,"13,182","12,680",,"1,616",80,"4,00,466","23,778","1,68,41,795"
172,Congo,"24,837",386,,"24,006",445,,"4,284",67,"3,47,815","59,991","57,97,805"
173,Timor-Leste,"23,253",138,,"23,102",13,,"16,980",101,"2,78,529","2,03,391","13,69,429"
174,Burkina Faso,"21,631",387,,"21,143",101,,979,18,"2,48,995","11,265","2,21,02,838"
175,Solomon Islands,"21,544",153,,"16,357","5,034",1,"29,874",212,"5,117","7,096","7,21,159"
176,San Marino,"20,763",118,,"20,524",121,4,"6,09,154","3,462","1,57,634","46,24,732","34,085"
177,Gibraltar,"20,092",108,,"16,579","3,405",,"5,96,131","3,204","5,34,283","1,58,52,213","33,704"
178,Liechtenstein,"19,713",86,,"19,403",224,2,"5,13,533","2,240","1,02,174","26,61,682","38,387"
179,Grenada,"19,536",237,,"19,248",51,4,"1,72,161","2,089","1,79,808","15,84,560","1,13,475"
180,Nicaragua,"18,491",225,,"4,225","14,041",,"2,728",33,,,"67,79,100"
181,Bermuda,"18,154",148,,"17,969",37,,"2,93,095","2,389","10,06,083","1,62,43,126","61,939"
182,South Sudan,"17,823",138,,"17,335",350,1,"1,534",12,"4,10,280","35,313","1,16,18,511"
183,Tajikistan,"17,786",125,,"17,264",397,,"1,786",13,,,"99,57,464"
184,Equatorial Guinea,"17,012",183,,"16,690",139,5,"11,367",122,"3,65,697","2,44,342","14,96,662"
185,Tonga,"16,182",12,,"15,638",532,,"1,50,182",111,"5,35,009","49,65,327","1,07,749"
186,Samoa,"15,925",29,,"1,605","14,291",4,"78,743",143,"1,87,397","9,26,612","2,02,239"
187,Dominica,"15,747",74,,"15,651",22,,"2,17,668","1,023","2,28,799","31,62,653","72,344"
188,Djibouti,"15,690",189,,"15,427",74,,"15,441",186,"3,05,941","3,01,094","10,16,097"
189,Marshall Islands,"15,275",17,,"15,166",92,22,"2,54,342",283,,,"60,057"
190,CAR,"14,913",113,,"14,520",280,2,"2,973",23,"81,294","16,205","50,16,678"
191,Monaco,"14,608",63,,"14,478",67,4,"3,67,192","1,584","78,646","19,76,875","39,783"
192,Gambia,"12,508",372,,"12,028",108,,"4,889",145,"1,55,686","60,851","25,58,482"
193,Saint Martin,"11,978",63,,"1,399","10,516",7,"3,01,485","1,586","1,12,382","28,28,643","39,730"
194,Greenland,"11,971",21,,"2,761","9,189",4,"2,10,117",369,"1,64,926","28,94,810","56,973"
195,Yemen,"11,935","2,157",,"9,124",654,23,383,69,"3,29,592","10,579","3,11,54,867"
196,Vanuatu,"11,930",14,,"11,894",22,,"37,069",44,"24,976","77,606","3,21,832"
197,Caribbean Netherlands,"11,235",36,,"10,476",723,,"4,21,623","1,351","30,126","11,30,559","26,647"
198,Sint Maarten,"10,863",87,,"10,773",3,10,"2,47,077","1,979","62,056","14,11,454","43,966"
199,Eritrea,"10,169",103,,"10,063",3,,"2,777",28,"23,693","6,470","36,62,244"
200,Niger,"9,931",312,,"8,890",729,1,381,12,"2,54,538","9,759","2,60,83,660"
201,Micronesia,"9,759",29,,157,"9,573",1,"83,063",247,"21,923","1,86,596","1,17,489"
202,Antigua and Barbuda,"9,098",146,,"8,923",29,1,"91,429","1,467","18,901","1,89,943","99,509"
203,Guinea-Bissau,"8,796",175,,"8,301",320,6,"4,263",85,"1,45,231","70,385","20,63,367"
204,Comoros,"8,471",161,,"8,305",5,,"9,335",177,,,"9,07,419"
205,Liberia,"7,961",294,,"7,636",31,2,"1,501",55,"1,39,824","26,356","53,05,117"
206,Sierra Leone,"7,751",126,,N/A,N/A,,933,15,"2,59,958","31,296","83,06,436"
207,Chad,"7,583",193,,"4,874","2,516",,435,11,"1,91,341","10,988","1,74,13,580"
208,British Virgin Islands,"7,305",64,,N/A,N/A,,"2,38,757","2,092","1,07,339","35,08,269","30,596"
209,St. Vincent Grenadines,"7,112",115,,"6,641",356,,"63,756","1,031","1,00,856","9,04,125","1,11,551"
210,Saint Kitts and Nevis,"6,541",46,,"6,482",13,,"1,21,420",854,"1,24,861","23,17,778","53,871"
211,Cook Islands,"6,389",1,,"6,384",4,,"3,63,610",57,"19,690","11,20,596","17,571"
212,Turks and Caicos,"6,380",36,,"6,321",23,4,"1,60,539",906,"5,50,093","1,38,41,952","39,741"
213,Sao Tome and Principe,"6,230",77,,"6,132",21,,"27,363",338,"29,036","1,27,530","2,27,679"
214,Palau,"5,460",6,,"5,444",10,1,"2,99,457",329,"64,681","35,47,469","18,233"
215,St. Barth,"5,285",6,,N/A,N/A,,"5,31,423",603,"78,646","79,08,095","9,945"
216,Nauru,"4,611",1,,"4,605",5,,"4,22,911",92,"20,509","18,81,042","10,903"
217,Anguilla,"3,865",12,,"3,848",5,4,"2,53,775",788,"51,382","33,73,736","15,230"
218,Kiribati,"3,430",13,,"2,703",714,3,"27,792",105,,,"1,23,419"
219,Saint Pierre Miquelon,"3,188",1,,"2,449",738,1,"5,53,568",174,"24,902","43,24,015","5,759"
220,Falkland Islands,"1,886",,,"1,886",0,,"5,32,919",,"8,632","24,39,107","3,539"
221,Montserrat,"1,396",8,,"1,353",35,,"2,81,168","1,611","17,579","35,40,584","4,965"
222,Saint Helena,"1,355",,,2,"1,353",,"2,21,586",,,,"6,115"
223,Macao,793,6,,787,0,,"1,188",9,"7,850","11,760","6,67,490"
224,Wallis and Futuna,761,7,,438,316,,"69,295",637,"20,508","18,67,419","10,982"
225,Diamond Princess,712,13,,699,0,,,,,,
226,Niue,80,,,80,0,,"49,322",,,,"1,622"
227,Vatican City,29,,,29,0,,"36,295",,,,799
228,Tuvalu,20,,,,20,,"1,658",,,,"12,066"
229,Western Sahara,10,1,,9,0,,16,2,,,"6,26,161"
230,MS Zaandam,9,2,,7,0,,,,,,
